dst_ip,src_ip_exists,src_ip_notexists,app_name,app_id
194.138.38.98_194.138.38.98,"host_10.99.158.195,host_10.99.158.161,host_10.99.158.199,host_10.99.168.43,host_10.99.168.106,host_10.99.168.105,host_10.99.158.207,host_10.99.159.79,host_10.99.159.78,host_10.99.168.44,host_10.225.128.49,host_10.225.128.50,host_10.99.168.122,host_10.99.168.121,SE_SG_SGP-K_10.225.33.251,host_10.99.168.120,host_10.99.158.159,SE_SG_SGP-K_10.225.33.252",,&&SIPEP,6380
139.21.170.113_139.21.170.113,"SE_CA_MKM-CD_10.99.157.227,SE_CA_MKM-CD_10.99.157.231,SE_CA_MKM-CD_10.99.157.230,SE_CA_MKM-CD_10.99.157.234,SE_DE_FTH-W_10.99.168.104,SE_NO_OSL90_10.99.156.109,SE_NO_OSL90_10.99.156.108,host_10.99.168.119,SE_SF_SGP-K_10.225.33.245,SE_SF_SGP-K_10.225.33.246,SE_IN_VAD-I_139.21.191.12,SE_SE_FSP-S_146.253.34.96,SE_IN_VAD-I_139.21.191.11,host_10.99.158.194,SE_CN_SHA-TN_139.24.234.49,SE_CN_SHA-TN_139.24.234.50,host_10.99.159.79,SE_US_IRV-LD_10.99.158.206,host_10.99.159.78,SE_US_IRV-LD_10.99.158.205,SE_BR_BAX-AA-3641-_10.99.159.77,SE_AT_VIE_10.99.156.204,SE_BR_BAX-AA-3641-_10.99.159.76,SE_AT_VIE_10.99.156.208,host_10.99.158.161,SE_SE_FSP-S_146.253.34.49,SE_DE_MLH-R_149.246.174.58,SE_DE_FTH-W_10.99.168.47,SE_CN_PEK_10.225.128.47,SE_DE_MLH-R_149.246.174.38,host_10.225.128.49,SE_CN_PEK_10.225.128.48,SE_DE_FTH-W_10.99.168.49,host_10.225.128.50,SE_ES_MAD-T_10.99.156.131,SE_AU_BWR-MH-885-_10.225.6.131,SE_ES_MAD-T_10.99.156.134,SE_ES_MAD-T_10.99.156.133,SE_ES_MAD-T_10.99.156.132,host_10.99.168.143,host_10.99.168.142,SE_IN_GGN-J_132.186.119.84,SE_IN_GGN-J_132.186.119.85,SE_AU_BWR-MH-885_10.225.6.145,SE_AU_BWR-MH-885-_10.225.6.144,SE_AU_BWR-MH-885_10.225.6.147,host_10.99.168.144,SE_AU_BWR-MH-885_10.225.6.146,SE_FR_LEH-C-31_10.222.203.43,SE_DE_FTH-W_10.99.168.22,SE_AU_BWR-MH-885_10.225.6.148,SE_DE_FTH-W_10.99.168.21,SE_ES_DIO-AB_10.222.199.39,host_10.99.158.159","129.73.135.139,10.225.7.23,10.225.7.22",&&Teamcenter IEC,2123
129.103.219.15_129.103.219.15,,"146.253.217.245,137.223.146.145,137.223.146.144",&&AVEVA Global,2760
139.22.180.175_139.22.180.175,"Host_10.99.152.35,Host_10.99.168.83,Host_139.21.161.196,Host_10.99.168.6,Host_10.99.153.11,SAG_157.163.141.137",137.223.146.144,&&KSU,1993
136.157.216.233_136.157.216.233,"host_10.99.158.195,host_10.99.158.161,host_10.99.158.199,host_10.99.168.43,host_10.99.168.106,host_10.99.158.207,host_10.99.159.79,host_10.99.159.78,host_10.99.168.44,host_10.225.128.49,host_10.225.128.50,host_10.99.168.122,host_10.99.168.121,host_10.99.168.120,host_10.99.158.159,SE_10.225.7.29,SE_10.225.7.28",,&&EZ-Suite,3214
157.163.129.102_157.163.129.102,"host_10.99.158.195,host_10.99.158.161,host_10.99.158.199,host_10.99.168.43,host_10.99.168.106,host_10.99.168.105,host_10.99.158.207,host_10.99.159.79,host_10.99.159.78,host_10.99.168.44,host_10.225.128.49,host_10.225.128.50,host_10.99.168.122,host_10.99.168.121,SE_SG_SGP-K_10.225.33.251,host_10.99.168.120,host_10.99.158.159,SE_10.225.7.29,SE_SG_SGP-K_10.225.33.252,SE_10.225.7.28",,&&Remote Service Platform (cRSP),1972
139.22.180.142_139.22.180.142,"host_139.23.161.102,Host_139.23.161.101,SE_139.23.155.149,host_139.23.161.115,Host_139.23.161.125,Host_139.23.161.108,Host_139.23.161.122,Host_139.23.161.106","158.92.1.37,10.99.152.253",&&PSDI,7423
139.23.197.11_139.23.197.11,host_10.99.153.191,"10.99.168.194,10.244.97.140,137.223.146.144",&&GPC&&GPC (SAP Publisher),2255_3352
194.138.36.86_194.138.36.86,"host_10.99.158.195,host_10.99.158.161,host_10.99.158.199,host_10.99.168.43,host_10.99.168.106,host_10.99.168.105,host_10.99.158.207,host_10.99.159.79,host_10.99.159.78,host_10.99.168.44,host_10.225.128.49,host_10.225.128.50,host_10.99.168.122,host_10.99.168.121,SE_SG_SGP-K_10.225.33.251,host_10.99.168.120,host_10.99.158.159,SE_SG_SGP-K_10.225.33.252",,&&Remote Service Platform (cRSP),1972
158.226.21.60_158.226.21.60,"host_129.73.237.73,host_158.226.24.226,host_141.29.245.28,host_158.226.26.230,host_141.29.245.26,host_129.73.237.65,host_141.29.245.21,host_158.226.26.235,host_10.99.168.106,host_158.226.24.232,host_10.99.168.105,SE_DE_FTH-W_10.99.168.104,SE_NO_OSL90_10.99.156.109,host_129.73.237.70,SE_NO_OSL90_10.99.156.108,host_129.73.237.89,host_158.226.24.243,host_10.99.168.119,host_158.226.26.244,host_158.226.24.250,host_10.99.168.122,SE_IN_VAD-I_139.21.191.12,host_10.99.168.121,host_10.99.168.120,SE_IN_VAD-I_139.21.191.11,host_129.73.237.86,host_129.73.237.106,host_141.29.245.62,host_158.226.26.198,host_158.226.24.196,host_141.29.245.59,host_158.226.24.202,host_141.29.245.54,host_158.226.26.206,host_129.73.237.121,host_141.29.245.44,host_158.226.26.208,host_129.73.237.125,host_141.29.245.40,host_158.226.26.215,host_158.226.26.212,host_158.226.24.218,host_129.73.237.117,host_158.226.26.222,host_129.73.237.116,host_158.226.26.223,host_141.29.245.34,host_158.226.26.162,host_158.226.24.162,host_141.29.191.92,host_158.226.24.161,host_158.226.24.166,host_158.226.24.164,host_10.99.168.43,host_158.226.24.171,host_141.29.245.84,host_158.226.26.169,host_158.226.24.174,SE_DE_FTH-W_10.99.168.47,host_10.99.168.44,host_158.226.26.178,SE_DE_FTH-W_10.99.168.49,host_158.226.26.177,host_141.29.245.64,host_141.29.245.66,host_141.29.245.124,SE_AU_BWR-MH-885-_10.225.6.131,host_141.29.191.121,host_158.226.24.134,host_158.226.26.134,host_141.29.245.121,host_141.29.245.117,host_158.226.24.137,host_158.226.24.142,host_158.226.26.142,host_129.73.237.36,host_129.73.237.38,host_141.29.245.114,SE_AU_BWR-MH-885_10.225.6.145,SE_AU_BWR-MH-885-_10.225.6.144,host_129.73.237.59,host_141.29.191.111,SE_AU_BWR-MH-885_10.225.6.147,SE_AU_BWR-MH-885_10.225.6.146,host_158.226.24.150,host_129.73.237.60,SE_DE_FTH-W_10.99.168.22,SE_AU_BWR-MH-885_10.225.6.148,host_141.29.191.107,SE_DE_FTH-W_10.99.168.21,host_129.73.237.62,host_158.226.26.155,host_141.29.245.97,host_158.226.26.156,host_158.226.26.157,host_141.29.191.157,host_158.226.26.99,host_141.29.191.158,host_158.226.26.102,host_141.29.191.155,host_141.29.245.154,host_141.29.245.150,host_129.73.237.197,host_141.29.191.144,host_158.226.26.111,host_129.73.237.198,host_158.226.26.114,host_158.226.26.115,host_141.29.245.140,host_141.29.245.142,host_158.226.26.116,host_141.29.245.139,host_141.29.245.133,host_129.73.237.210,SE_SE_FSP-S_146.253.34.96,host_129.73.237.214,host_10.99.158.195,host_10.99.158.194,host_141.29.245.188,host_129.73.237.237,host_10.99.158.199,host_158.226.26.74,host_141.29.245.181,host_129.73.237.224,host_158.226.26.72,host_10.99.158.207,SE_US_IRV-LD_10.99.158.206,SE_US_IRV-LD_10.99.158.205,host_129.73.237.230,SE_AT_VIE_10.99.156.204,host_141.29.245.173,host_158.226.26.83,SE_AT_VIE_10.99.156.208,host_141.29.245.171,host_141.29.245.164,host_141.29.245.166,host_141.29.191.163,host_158.226.26.93,host_129.73.237.139,host_10.99.158.161,host_141.29.245.223,host_158.226.26.32,host_141.29.245.222,host_129.73.237.141,host_158.226.26.39,host_129.73.237.142,host_141.29.245.213,SE_SE_FSP-S_146.253.34.49,SE_CN_PEK_10.225.128.47,host_10.225.128.49,host_129.73.237.152,SE_CN_PEK_10.225.128.48,host_158.226.26.49,host_10.225.128.50,host_158.226.26.58,host_141.29.245.197,host_141.29.191.199,host_129.73.237.169,SE_ES_MAD-T_10.99.156.131,host_158.226.26.2,SE_ES_MAD-T_10.99.156.134,host_158.226.26.7,SE_ES_MAD-T_10.99.156.133,host_141.29.245.251,SE_ES_MAD-T_10.99.156.132,host_158.226.26.5,host_158.226.26.10,host_129.73.237.163,host_129.73.237.165,host_129.73.237.167,host_141.29.245.233,host_158.226.26.23,host_141.29.245.231,host_10.99.158.159,host_158.226.27.227,host_158.226.25.239,host_158.226.25.236,SE_SF_SGP-K_10.225.33.245,host_158.226.25.245,SE_SF_SGP-K_10.225.33.246,SE_SG_SGP-K_10.225.33.251,SE_SG_SGP-K_10.225.33.252,host_158.226.25.195,host_158.226.25.192,host_158.226.27.192,host_158.226.25.193,host_158.226.27.199,host_158.226.27.196,SE_CN_SHA-TN_139.24.234.49,SE_CN_SHA-TN_139.24.234.50,host_10.99.159.79,host_10.99.159.78,host_158.226.25.204,SE_BR_BAX-AA-3641-_10.99.159.77,SE_BR_BAX-AA-3641-_10.99.159.76,host_158.226.27.208,host_158.226.25.214,host_158.226.27.216,host_158.226.27.223,host_158.226.25.220,host_158.226.25.166,host_158.226.27.172,host_158.226.25.177,host_158.226.27.177,host_158.226.25.183,host_158.226.25.180,host_158.226.27.187,host_158.226.27.185,host_158.226.27.130,host_158.226.27.131,host_158.226.27.129,host_158.226.27.135,host_158.226.25.144,host_158.226.25.148,host_158.226.27.149,host_158.226.27.155,host_158.226.25.156,SE_CA_MKM-CD_10.99.157.227,host_158.226.27.99,SE_CA_MKM-CD_10.99.157.231,SE_CA_MKM-CD_10.99.157.230,SE_CA_MKM-CD_10.99.157.234,host_158.226.25.111,host_158.226.27.113,host_158.226.25.117,host_158.226.27.123,host_158.226.25.120,host_161.218.214.124,host_161.218.214.125,host_158.226.25.73,host_161.218.214.119,host_158.226.25.83,host_158.226.25.81,host_158.226.27.81,host_158.226.25.90,host_158.226.27.92,host_158.226.27.34,host_158.226.25.35,host_158.226.27.35,host_158.226.27.39,host_158.226.27.42,SE_DE_MLH-R_149.246.174.58,host_158.226.27.47,SE_DE_MLH-R_149.246.174.38,host_158.226.25.49,host_158.226.27.52,host_158.226.25.3,host_158.226.27.0,host_149.246.190.21,host_158.226.27.7,host_158.226.25.5,SE_IN_GGN-J_132.186.119.84,SE_IN_GGN-J_132.186.119.85,SE_FR_LEH-C-31_10.222.203.43,SE_ES_DIO-AB_10.222.199.39,host_158.226.25.31,host_158.226.25.28","141.29.245.37,141.29.245.153,141.29.245.234",&&SAP: MP1 (PROD),1829
